score, participants, totalProposals, candidateProposals, activeProposals, completedProposals, failedProposals, hatchers, proposals, commonTribute, maxSpending, customDays, exitTribute
555,39, 287, 0, 3, 137, 147,3, 15, 6, 23, 110, 45
510,36, 320, 2, 0, 150, 168,3, 33, 53, 41, 110, 45
666,43, 278, 1, 1, 141, 135,3, 1, 37, 10, 110, 45
675,46, 300, 1, 1, 151, 147,3, 16, 46, 17, 110, 45
744,46, 321, 0, 0, 165, 156,3, 27, 70, 27, 110, 45
658,39, 269, 1, 1, 133, 134,3, 2, 78, 31, 110, 45
825,44, 323, 4, 2, 146, 171,3, 28, 99, 31, 110, 45
595,41, 273, 1, 1, 138, 133,3, 12, 72, 42, 110, 45
600,46, 278, 1, 2, 135, 140,3, 4, 43, 35, 110, 45
725,40, 315, 1, 2, 151, 161,3, 25, 57, 15, 110, 45
439,32, 288, 0, 1, 115, 172,3, 30, 76, 33, 110, 45
688,50, 296, 0, 0, 147, 149,3, 24, 56, 19, 110, 45
742,42, 271, 2, 0, 137, 132,6, 14, 66, 32, 72, 50
678,47, 279, 0, 1, 131, 147,6, 38, 17, 24, 72, 50
787,36, 318, 1, 1, 156, 160,6, 34, 93, 26, 72, 50
494,35, 299, 1, 2, 133, 163,24, 26, 26, 21, 40, 83
572,41, 282, 1, 2, 145, 134,24, 1, 11, 42, 40, 17
713,49, 285, 1, 4, 135, 145,24, 22, 17, 27, 40, 59
576,48, 306, 1, 1, 146, 158,24, 38, 23, 23, 40, 3
420,32, 305, 0, 0, 131, 174,24, 37, 61, 9, 40, 70
738,38, 268, 1, 1, 122, 144,24, 12, 81, 35, 40, 85
549,43, 296, 2, 1, 139, 154,24, 21, 17, 48, 40, 27
513,40, 317, 1, 4, 143, 169,24, 25, 31, 34, 40, 49
668,44, 282, 0, 1, 136, 145,24, 21, 26, 18, 40, 58
639,47, 291, 1, 1, 143, 146,24, 28, 42, 43, 40, 82
772,40, 312, 0, 1, 139, 172,24, 26, 84, 22, 40, 67
628,46, 309, 1, 1, 139, 168,24, 16, 50, 42, 40, 65
503,61, 318, 0, 0, 157, 161,48, 23, 41, 45, 95, 14
593,57, 278, 2, 0, 134, 142,48, 27, 82, 5, 95, 94
346,56, 299, 0, 4, 129, 166,48, 23, 62, 34, 95, 16
750,59, 300, 2, 0, 144, 154,48, 38, 91, 16, 95, 56
634,63, 301, 1, 0, 140, 160,48, 17, 83, 11, 95, 36
385,55, 292, 0, 4, 133, 155,48, 36, 54, 19, 95, 17
525,62, 299, 1, 4, 145, 149,48, 1, 24, 47, 95, 36
487,53, 281, 2, 1, 139, 139,48, 21, 60, 29, 95, 30
607,64, 301, 2, 2, 153, 144,48, 39, 20, 39, 95, 10
723,55, 273, 0, 2, 140, 131,48, 5, 73, 11, 95, 76
580,49, 276, 1, 1, 137, 137,48, 18, 87, 34, 95, 35
418,39, 287, 2, 1, 127, 157,33, 35, 71, 43, 33, 1
716,52, 318, 2, 2, 156, 158,33, 35, 71, 43, 35, 37
